,movie,year,rating,genre,runtime_min,imdb,metascore,votes,n_imdb
0,65,2023,PG-13,"['Action', ' Adventure', ' Drama']",93,5.5,40,31295,55
1,Avatar: The Way of Water,2022,PG-13,"['Action', ' Adventure', ' Fantasy']",192,7.7,67,357260,77
2,Super Mario Bros.,1993,PG,"['Adventure', ' Comedy', ' Family']",104,4.1,35,58495,41
3,Everything Everywhere All at Once,2022,R,"['Action', ' Adventure', ' Comedy']",139,7.9,81,428222,79
4,Ant-Man and the Wasp: Quantumania,2023,PG-13,"['Action', ' Adventure', ' Comedy']",124,6.4,48,101578,64
5,Infinity Pool,2023,R,"['Crime', ' Horror', ' Mystery']",117,6.1,72,25716,61
6,Nope,2022,R,"['Horror', ' Mystery', ' Sci-Fi']",130,6.8,77,217125,68
7,M3GAN,2022,PG-13,"['Horror', ' Sci-Fi', ' Thriller']",102,6.4,72,93869,64
8,Interstellar,2014,PG-13,"['Adventure', ' Drama', ' Sci-Fi']",169,8.6,74,1891332,86
9,Black Panther: Wakanda Forever,2022,PG-13,"['Action', ' Adventure', ' Drama']",161,6.7,67,256471,67
10,Blade Runner 2049,2017,R,"['Action', ' Drama', ' Mystery']",164,8,81,596742,80
11,Avatar,2009,PG-13,"['Action', ' Adventure', ' Fantasy']",162,7.9,83,1336303,79
12,Dune,2021,PG-13,"['Action', ' Adventure', ' Drama']",155,8,74,663694,80
13,Inception,2010,PG-13,"['Action', ' Adventure', ' Sci-Fi']",148,8.8,74,2397924,88
14,The Hunger Games,2012,PG-13,"['Action', ' Adventure', ' Sci-Fi']",142,7.2,68,941225,72
15,Super 8,2011,PG-13,"['Action', ' Mystery', ' Sci-Fi']",112,7,72,359339,70
16,Jurassic World: Dominion,2022,PG-13,"['Action', ' Adventure', ' Sci-Fi']",147,5.6,38,180301,56
17,Spider-Man: No Way Home,2021,PG-13,"['Action', ' Adventure', ' Fantasy']",148,8.2,71,786146,82
18,Black Adam,2022,PG-13,"['Action', ' Adventure', ' Fantasy']",125,6.3,41,240302,63
19,Star Wars: Episode IX - The Rise of Skywalker,2019,PG-13,"['Action', ' Adventure', ' Fantasy']",141,6.5,53,463849,65
20,Avengers: Endgame,2019,PG-13,"['Action', ' Adventure', ' Drama']",181,8.4,78,1167664,84
21,Star Wars: Episode IV - A New Hope,1977,PG,"['Action', ' Adventure', ' Fantasy']",121,8.6,90,1386049,86
22,Jurassic Park,1993,PG-13,"['Action', ' Adventure', ' Sci-Fi']",127,8.2,68,1008197,82
23,The Matrix,1999,R,"['Action', ' Sci-Fi']",136,8.7,73,1946660,87
24,Thor: Love and Thunder,2022,PG-13,"['Action', ' Adventure', ' Comedy']",118,6.2,57,356646,62
25,Guardians of the Galaxy,2014,PG-13,"['Action', ' Adventure', ' Comedy']",121,8,76,1200169,80
26,Back to the Future,1985,PG,"['Adventure', ' Comedy', ' Sci-Fi']",116,8.5,87,1230213,85
27,Spider-Man: Into the Spider-Verse,2018,PG,"['Animation', ' Action', ' Adventure']",117,8.4,87,554542,84
